id_hal	Translation_id	Postedit_id	line_id	source	translation	postedition
1988871	7033	402	0	Transforming Dependency Structures to LTAG Derivation Trees	Transformation de structures de dépendances en arbres de dérivation LTAG	Transformation de structures de dépendances en arbres de dérivation LTAG
1988871	7033	402	1	We propose a new algorithm for parsing Lexicalized Tree Adjoining Grammars (LTAGs) which uses pre-assigned bilexi-cal dependency relations as a filter.	Nous proposons un nouvel algorithme pour analyser les grammaires adjacentes à l'arbre lexicalisé (LTAG) qui utilise des relations de dépendance bilexi-cal pré-assignées comme filtre.	Nous proposons un nouvel algorithme pour analyser les grammaires d'arbres adjoints lexicalisés (LTAG) qui utilise des relations de dépendance bilexicale pré-assignées comme filtre.
1988871	7033	402	2	That is, given a sentence and its corresponding well-formed dependency structure, the parser assigns elementary trees to words of the sentence and return attachment sites compatible with these elementary trees and predefined dependencies.	C'est-à-dire, compte tenu d'une phrase et de sa structure de dépendance bien formée correspondante, le parseur attribue des arbres élémentaires à des mots de la phrase et retourne des sites d'attachement compatibles avec ces arbres élémentaires et des dépendances prédéfinies.	C'est-à-dire, étant donné une phrase et de sa structure en dépendances bien formé, l'analyseur attribue des arbres élémentaires à des mots de la phrase et retourne les sites d'attachement compatibles avec ces arbres élémentaires et ces dépendances prédéfinies.
1988871	7033	402	3	Moreover, we prove that this algorithm has a linear-time complexity in the input length.	Par ailleurs, on prouve que cet algorithme présente une complexité linéaire temporelle dans la longueur d'entrée.	Par ailleurs, on prouve que cet algorithme a une complexité temporelle linéaire dans la longueur d'entrée.
1988871	7033	402	4	This algorithm returns all compatible derivation trees as a packed forest.	Cet algorithme retourne tous les arbres de dérivation compatibles en tant que forêt compactée.	Cet algorithme retourne tous les arbres de dérivation compatibles sous forme d'une forêt compact.
1988871	7033	402	5	This result is of practical interest to the development of efficient weighted LTAG parsers based on derivation tree decoding.	Ce résultat présente un intérêt pratique pour le développement d'analyseurs LTAG pondérés efficaces basés sur un décodage d'arbre de dérivation.	Ce résultat présente un intérêt pratique pour le développement d'analyseurs LTAG pondérés efficaces fondés sur un décodage de l'arbre de dérivation.
1821049	6181	159	0	Corpus Based Machine Translation for Scientific Text	Traduction automatique basée sur Corpus pour texte scientifique	Traduction automatique basée sur corpus pour le texte scientifique
1821049	6181	159	1	From many years, machine translation and computational linguistic research community has given immense attention towards the development of machine translation techniques.	Depuis de nombreuses années, la communauté de la traduction automatique et de la recherche linguistique computationnelle accorde une grande attention au développement des techniques de traduction automatique.	Depuis de nombreuses années, la communauté des chercheurs en traduction automatique et en traitement automatique des langues prête une attention aiguë au développement des techniques de traduction automatique.
1821049	6181	159	2	In order to fulfill the goal of machine translation “translation without losing meaning”, a lot of translation methods have been proposed.	Afin d'atteindre l'objectif de la traduction automatique « traduction sans perdre de sens », de nombreuses méthodes de traduction ont été proposées.	Afin d'atteindre l'objectif de la traduction automatique d'une « traduction sans perte de sens », de nombreuses méthodes de traduction ont été proposées.
1821049	6181	159	3	All of these translation methods differ in their theories and implementation strategies.	Toutes ces méthodes de traduction diffèrent dans leurs théories et stratégies de mise en oeuvre.	Toutes ces méthodes de traduction diffèrent au plan théorique et dans la stratégie de leur mise en œuvre.
1821049	6181	159	4	Although some basic rules of translation are same but many of them vary with the selection of language pair.	Bien que certaines règles de base de la traduction soient identiques, beaucoup d'entre elles varient avec la sélection de la paire de langues.	Bien que certaines règles de base de la traduction soient identiques, nombre d'entre elles varient selon la paire de langues considérée.
1821049	6181	159	5	While concerning with the scientific text, every science domain has thousands of terminologies.	Bien que concernant le texte scientifique, chaque domaine scientifique a des milliers de terminologies.	S'agissant de textes scientifiques, chaque domaine des sciences possède une terminologie spécifique.
1821049	6181	159	6	Translation of these terminologies according to the domain boosts the performance of translation.	La traduction de ces terminologies en fonction du domaine améliore les performances de traduction.	La traduction de ces terminologies en fonction du domaine améliore les performances de traduction.
1821049	6181	159	7	Translation of scientific text is ignored in the literature, as it needs more effort and expertise of both domain and language are required.	La traduction de textes scientifiques est ignorée dans la littérature, car elle nécessite plus d'efforts et d'expertise, tant dans le domaine que dans la langue.	La traduction de textes scientifiques est négligée dans la littérature, car elle nécessite plus d'efforts et d'expertise, tant dans le domaine que dans la langue.
1821049	6181	159	8	In this research, we have proposed an effective scientific text translator for English to Urdu to cope with the challenge of scientific text translation.	Dans cette recherche, nous avons proposé un traducteur de texte scientifique efficace pour l'anglais à l'ourdou pour faire face au défi de la traduction de texte scientifique.	Dans cette recherche, nous avons proposé un traducteur de textes scientifiques efficace anglais--&gt;ourdou pour faire face au défi de la traduction scientifique.
1821049	6181	159	9	This method tags and translate the terms according to the domain.	Cette méthode marque et traduit les termes en fonction du domaine.	Cette méthode annote et traduit les termes en fonction du domaine.
1821049	6181	159	10	We have introduced a term tagger for tagging terms.	Nous avons introduit un marqueur de termes pour marquer des termes.	Nous avons introduit un marqueur de termes pour marquer les termes.
1821049	6181	159	11	The system can work for any domain but for experimental purpose we have selected the domain of computer science.	Le système peut fonctionner pour n'importe quel domaine, mais à des fins expérimentales, nous avons choisi le domaine de l'informatique.	Le système peut être appliqué à tous les domaines, mais à des fins expérimentales, nous avons choisi le domaine de l'informatique.
1821049	6181	159	12	System is evaluated on self-generated corpus of computer science.	Le système est évalué sur un corpus autogénéré d'informatique.	Le système est évalué sur un corpus auto-généré d'informatique.
1821049	6181	159	13	It is also compared with the existing translators to demonstrate the dominance of proposed translator as compared to the competitor.	Il est également comparé avec les traducteurs existants pour démontrer la domination du traducteur proposé par rapport au concurrent.	Il est également comparé avec les traducteurs existants pour démontrer la supériorité du traducteur proposé par rapport à la concurrence.
1821049	6181	159	14	The comparative results of proposed approach and existing are shown in the form of tables.	Les résultats comparatifs de l'approche proposée et de l'approche existante sont présentés sous forme de tableaux.	Les résultats comparés de l'approche proposée et de celles existantes sont présentés sous forme de tableaux.
3834732	4248	155	0	T-Modules: Translation Modules for Zero-Shot Cross-Modal Machine Translation	Modules T : Modules de traduction pour la traduction automatique intermodale à tir nul	Modules T : Modules de traduction pour la traduction automatique intermodale zéro-shot
