id_hal	Translation_id	line_id	source	translation	postedition
3977982	18634	0	Tackling Ambiguity with Images: Improved Multimodal Machine Translation and Contrastive Evaluation	S'attaquer à l'ambiguïté avec des images : Traduction automatique multimodale améliorée et évaluation contrastive	S'attaquer à l'ambiguïté avec des images : Traduction automatique multimodale améliorée et évaluation contrastive
3977982	18634	1	One of the major challenges of machine translation (MT) is ambiguity, which can in some cases be resolved by accompanying context such as an image.	L'un des principaux défis de la traduction automatique (TA) est l'ambiguïté, qui peut dans certains cas être résolue par l'accompagnement d'un contexte tel qu'une image.	L'un des principaux défis de la traduction automatique (TA) est l'ambiguïté, qui peut dans certains cas être résolue par l'accompagnement d'un contexte tel qu'une image.
3977982	18634	2	However, recent work in multimodal MT (MMT) has shown that obtaining improvements from images is challenging, limited not only by the difficulty of building effective cross-modal representations but also by the lack of specific evaluation and training data.	Cependant, des travaux récents dans le domaine de la traduction automatique multimodale ont montré qu'il était difficile d'obtenir des améliorations à partir d'images, limitées non seulement par la difficulté de construire des représentations multimodales efficaces, mais aussi par le manque de données d'évaluation et d'entraînement spécifiques.	Cependant, des travaux récents dans le domaine de la traduction automatique multimodale ont montré qu'il était difficile d'obtenir des améliorations à partir d'images, limitées non seulement par la difficulté de construire des représentations multimodales efficaces, mais aussi par le manque de données d'évaluation et d'entraînement spécifiques.
3977982	18634	3	We present a new MMT approach based on a strong text-only MT model, which uses neural adapters and a novel guided self-attention mechanism and which is jointly trained on both visual masking and MMT.	Nous présentons une nouvelle approche de la MT multimodale basée sur un modèle de MT textuelle solide, qui utilise des adaptateurs neuronaux et un nouveau mécanisme d'auto-attention guidée et qui est entraîné conjointement sur le masquage visuel et la MT multimodale.	Nous présentons une nouvelle approche de la MT multimodale basée sur un modèle de MT textuelle solide, qui utilise des adaptateurs neuronaux et un nouveau mécanisme d'auto-attention guidée et qui est entraîné conjointement sur le masquage visuel et la MT multimodale.
3977982	18634	4	We also release CoMMuTE, a Contrastive Multilingual Multimodal Translation Evaluation dataset, composed of ambiguous sentences and their possible translations, accompanied by disambiguating images corresponding to each translation.	Nous publions également CoMMuTE, un ensemble de données d'évaluation de la traduction multimodale multilingue contrastive, composé de phrases ambiguës et de leurs traductions possibles, accompagnées d'images désambiguïsantes correspondant à chaque traduction.	Nous publions également CoMMuTE, un ensemble de données d'évaluation de la traduction multimodale multilingue contrastive, composé de phrases ambiguës et de leurs traductions possibles, accompagnées d'images désambiguïsantes correspondant à chaque traduction.
3977982	18634	5	Our approach obtains competitive results over strong text-only models on standard English-to-French benchmarks and outperforms these baselines and state-of-the-art MMT systems with a large margin on our contrastive test set.	Notre approche obtient des résultats compétitifs par rapport à des modèles textuels forts sur des benchmarks anglais-français standards et surpasse ces baselines et les systèmes MMT de pointe avec une grande marge sur notre ensemble de tests contrastifs.	Notre approche obtient des résultats compétitifs par rapport à des modèles textuels forts sur des benchmarks anglais-français standards et surpasse ces modèles de base et les systèmes de traduction automatique multimodale de pointe avec une grande marge sur notre ensemble de tests contrastifs.
3866253	4214	0	Conceptual Similarity for Subjective Tags	Similarité conceptuelle pour les balises subjectives	Similarité conceptuelle pour les tags subjectifs
3866253	4214	1	Tagging in the context of online resources is a fundamental addition to search systems.	Le marquage dans le contexte des ressources en ligne est un ajout fondamental aux systèmes de recherche.	Les tags dans le contexte des ressources en ligne sont un ajout fondamental aux systèmes de recherche.
3866253	4214	2	Tags assist with the indexing, management, and retrieval of online products and services to answer complex user queries.	Les balises facilitent l'indexation, la gestion et l'extraction de produits et services en ligne pour répondre aux requêtes complexes des utilisateurs.	Ils facilitent l'indexation, la gestion et l'extraction de produits et services en ligne pour répondre aux requêtes complexes des utilisateurs.
3866253	4214	3	Traditional methods of matching user queries with tags either rely on cosine similarity, or employ semantic similarity models that fail to recognize conceptual connections between tags, e.g. ambiance and music.	Les méthodes traditionnelles de mise en correspondance des requêtes des utilisateurs avec les étiquettes reposent sur la similarité cosinus, ou utilisent des modèles de similarité sémantique qui ne reconnaissent pas les connexions conceptuelles entre les étiquettes, par exemple l'ambiance et la musique.	Les méthodes traditionnelles de mise en correspondance des requêtes des utilisateurs avec les tags reposent sur la similarité cosinus, ou utilisent des modèles de similarité sémantique qui ne reconnaissent pas les connexions conceptuelles entre les tags, par exemple l'ambiance et la musique.
