id_hal,Translation_id,Postedit_id,line_id,source,translation,postedition,translation_tokenized,translation_word_offset,postedition_tokenized,postedition_word_offset
1988871,7033,402,0,Transforming Dependency Structures to LTAG Derivation Trees,Transformation de structures de dépendances en arbres de dérivation LTAG,Transformation de structures de dépendances en arbres de dérivation LTAG,"['Transformation', 'de', 'structures', 'de', 'dépendances', 'en', 'arbres', 'de', 'dérivation', 'LTAG']","[(0, 14), (14, 17), (17, 28), (28, 31), (31, 43), (43, 46), (46, 53), (53, 56), (56, 67), (67, 72)]","['Transformation', 'de', 'structures', 'de', 'dépendances', 'en', 'arbres', 'de', 'dérivation', 'LTAG']","[(0, 14), (14, 17), (17, 28), (28, 31), (31, 43), (43, 46), (46, 53), (53, 56), (56, 67), (67, 72)]"
1988871,7033,402,1,We propose a new algorithm for parsing Lexicalized Tree Adjoining Grammars (LTAGs) which uses pre-assigned bilexi-cal dependency relations as a filter.,Nous proposons un nouvel algorithme pour analyser les grammaires adjacentes à l'arbre lexicalisé (LTAG) qui utilise des relations de dépendance bilexi-cal pré-assignées comme filtre.,Nous proposons un nouvel algorithme pour analyser les grammaires d'arbres adjoints lexicalisés (LTAG) qui utilise des relations de dépendance bilexicale pré-assignées comme filtre.,"['Nous', 'proposons', 'un', 'nouvel', 'algorithme', 'pour', 'analyser', 'les', 'grammaires', 'adjacentes', 'à', ""l'arbre"", 'lexicalisé', '(LTAG)', 'qui', 'utilise', 'des', 'relations', 'de', 'dépendance', 'bilexi-cal', 'pré-assignées', 'comme', 'filtre.']","[(0, 4), (4, 14), (14, 17), (17, 24), (24, 35), (35, 40), (40, 49), (49, 53), (53, 64), (64, 75), (75, 77), (77, 85), (85, 96), (96, 103), (103, 107), (107, 115), (115, 119), (119, 129), (129, 132), (132, 143), (143, 154), (154, 168), (168, 174), (174, 182)]","['Nous', 'proposons', 'un', 'nouvel', 'algorithme', 'pour', 'analyser', 'les', 'grammaires', ""d'arbres"", 'adjoints', 'lexicalisés', '(LTAG)', 'qui', 'utilise', 'des', 'relations', 'de', 'dépendance', 'bilexicale', 'pré-assignées', 'comme', 'filtre.']","[(0, 4), (4, 14), (14, 17), (17, 24), (24, 35), (35, 40), (40, 49), (49, 53), (53, 64), (64, 73), (73, 82), (82, 94), (94, 101), (101, 105), (105, 113), (113, 117), (117, 127), (127, 130), (130, 141), (141, 152), (152, 166), (166, 172), (172, 180)]"
1988871,7033,402,2,"That is, given a sentence and its corresponding well-formed dependency structure, the parser assigns elementary trees to words of the sentence and return attachment sites compatible with these elementary trees and predefined dependencies.","C'est-à-dire, compte tenu d'une phrase et de sa structure de dépendance bien formée correspondante, le parseur attribue des arbres élémentaires à des mots de la phrase et retourne des sites d'attachement compatibles avec ces arbres élémentaires et des dépendances prédéfinies.","C'est-à-dire, étant donné une phrase et de sa structure en dépendances bien formé, l'analyseur attribue des arbres élémentaires à des mots de la phrase et retourne les sites d'attachement compatibles avec ces arbres élémentaires et ces dépendances prédéfinies.","[""C'est-à-dire,"", 'compte', 'tenu', ""d'une"", 'phrase', 'et', 'de', 'sa', 'structure', 'de', 'dépendance', 'bien', 'formée', 'correspondante,', 'le', 'parseur', 'attribue', 'des', 'arbres', 'élémentaires', 'à', 'des', 'mots', 'de', 'la', 'phrase', 'et', 'retourne', 'des', 'sites', ""d'attachement"", 'compatibles', 'avec', 'ces', 'arbres', 'élémentaires', 'et', 'des', 'dépendances', 'prédéfinies.']","[(0, 13), (13, 20), (20, 25), (25, 31), (31, 38), (38, 41), (41, 44), (44, 47), (47, 57), (57, 60), (60, 71), (71, 76), (76, 83), (83, 99), (99, 102), (102, 110), (110, 119), (119, 123), (123, 130), (130, 143), (143, 145), (145, 149), (149, 154), (154, 157), (157, 160), (160, 167), (167, 170), (170, 179), (179, 183), (183, 189), (189, 203), (203, 215), (215, 220), (220, 224), (224, 231), (231, 244), (244, 247), (247, 251), (251, 263), (263, 276)]","[""C'est-à-dire,"", 'étant', 'donné', 'une', 'phrase', 'et', 'de', 'sa', 'structure', 'en', 'dépendances', 'bien', 'formé,', ""l'analyseur"", 'attribue', 'des', 'arbres', 'élémentaires', 'à', 'des', 'mots', 'de', 'la', 'phrase', 'et', 'retourne', 'les', 'sites', ""d'attachement"", 'compatibles', 'avec', 'ces', 'arbres', 'élémentaires', 'et', 'ces', 'dépendances', 'prédéfinies.']","[(0, 13), (13, 19), (19, 25), (25, 29), (29, 36), (36, 39), (39, 42), (42, 45), (45, 55), (55, 58), (58, 70), (70, 75), (75, 82), (82, 94), (94, 103), (103, 107), (107, 114), (114, 127), (127, 129), (129, 133), (133, 138), (138, 141), (141, 144), (144, 151), (151, 154), (154, 163), (163, 167), (167, 173), (173, 187), (187, 199), (199, 204), (204, 208), (208, 215), (215, 228), (228, 231), (231, 235), (235, 247), (247, 260)]"
1988871,7033,402,3,"Moreover, we prove that this algorithm has a linear-time complexity in the input length.","Par ailleurs, on prouve que cet algorithme présente une complexité linéaire temporelle dans la longueur d'entrée.","Par ailleurs, on prouve que cet algorithme a une complexité temporelle linéaire dans la longueur d'entrée.","['Par', 'ailleurs,', 'on', 'prouve', 'que', 'cet', 'algorithme', 'présente', 'une', 'complexité', 'linéaire', 'temporelle', 'dans', 'la', 'longueur', ""d'entrée.""]","[(0, 3), (3, 13), (13, 16), (16, 23), (23, 27), (27, 31), (31, 42), (42, 51), (51, 55), (55, 66), (66, 75), (75, 86), (86, 91), (91, 94), (94, 103), (103, 113)]","['Par', 'ailleurs,', 'on', 'prouve', 'que', 'cet', 'algorithme', 'a', 'une', 'complexité', 'temporelle', 'linéaire', 'dans', 'la', 'longueur', ""d'entrée.""]","[(0, 3), (3, 13), (13, 16), (16, 23), (23, 27), (27, 31), (31, 42), (42, 44), (44, 48), (48, 59), (59, 70), (70, 79), (79, 84), (84, 87), (87, 96), (96, 106)]"
1988871,7033,402,4,This algorithm returns all compatible derivation trees as a packed forest.,Cet algorithme retourne tous les arbres de dérivation compatibles en tant que forêt compactée.,Cet algorithme retourne tous les arbres de dérivation compatibles sous forme d'une forêt compact.,"['Cet', 'algorithme', 'retourne', 'tous', 'les', 'arbres', 'de', 'dérivation', 'compatibles', 'en', 'tant', 'que', 'forêt', 'compactée.']","[(0, 3), (3, 14), (14, 23), (23, 28), (28, 32), (32, 39), (39, 42), (42, 53), (53, 65), (65, 68), (68, 73), (73, 77), (77, 83), (83, 94)]","['Cet', 'algorithme', 'retourne', 'tous', 'les', 'arbres', 'de', 'dérivation', 'compatibles', 'sous', 'forme', ""d'une"", 'forêt', 'compact.']","[(0, 3), (3, 14), (14, 23), (23, 28), (28, 32), (32, 39), (39, 42), (42, 53), (53, 65), (65, 70), (70, 76), (76, 82), (82, 88), (88, 97)]"
1988871,7033,402,5,This result is of practical interest to the development of efficient weighted LTAG parsers based on derivation tree decoding.,Ce résultat présente un intérêt pratique pour le développement d'analyseurs LTAG pondérés efficaces basés sur un décodage d'arbre de dérivation.,Ce résultat présente un intérêt pratique pour le développement d'analyseurs LTAG pondérés efficaces fondés sur un décodage de l'arbre de dérivation.,"['Ce', 'résultat', 'présente', 'un', 'intérêt', 'pratique', 'pour', 'le', 'développement', ""d'analyseurs"", 'LTAG', 'pondérés', 'efficaces', 'basés', 'sur', 'un', 'décodage', ""d'arbre"", 'de', 'dérivation.']","[(0, 2), (2, 11), (11, 20), (20, 23), (23, 31), (31, 40), (40, 45), (45, 48), (48, 62), (62, 75), (75, 80), (80, 89), (89, 99), (99, 105), (105, 109), (109, 112), (112, 121), (121, 129), (129, 132), (132, 144)]","['Ce', 'résultat', 'présente', 'un', 'intérêt', 'pratique', 'pour', 'le', 'développement', ""d'analyseurs"", 'LTAG', 'pondérés', 'efficaces', 'fondés', 'sur', 'un', 'décodage', 'de', ""l'arbre"", 'de', 'dérivation.']","[(0, 2), (2, 11), (11, 20), (20, 23), (23, 31), (31, 40), (40, 45), (45, 48), (48, 62), (62, 75), (75, 80), (80, 89), (89, 99), (99, 106), (106, 110), (110, 113), (113, 122), (122, 125), (125, 133), (133, 136), (136, 148)]"
1821049,6181,159,0,Corpus Based Machine Translation for Scientific Text,Traduction automatique basée sur Corpus pour texte scientifique,Traduction automatique basée sur corpus pour le texte scientifique,"['Traduction', 'automatique', 'basée', 'sur', 'Corpus', 'pour', 'texte', 'scientifique']","[(0, 10), (10, 22), (22, 28), (28, 32), (32, 39), (39, 44), (44, 50), (50, 63)]","['Traduction', 'automatique', 'basée', 'sur', 'corpus', 'pour', 'le', 'texte', 'scientifique']","[(0, 10), (10, 22), (22, 28), (28, 32), (32, 39), (39, 44), (44, 47), (47, 53), (53, 66)]"
1821049,6181,159,1,"From many years, machine translation and computational linguistic research community has given immense attention towards the development of machine translation techniques.","Depuis de nombreuses années, la communauté de la traduction automatique et de la recherche linguistique computationnelle accorde une grande attention au développement des techniques de traduction automatique.","Depuis de nombreuses années, la communauté des chercheurs en traduction automatique et en traitement automatique des langues prête une attention aiguë au développement des techniques de traduction automatique.","['Depuis', 'de', 'nombreuses', 'années,', 'la', 'communauté', 'de', 'la', 'traduction', 'automatique', 'et', 'de', 'la', 'recherche', 'linguistique', 'computationnelle', 'accorde', 'une', 'grande', 'attention', 'au', 'développement', 'des', 'techniques', 'de', 'traduction', 'automatique.']","[(0, 6), (6, 9), (9, 20), (20, 28), (28, 31), (31, 42), (42, 45), (45, 48), (48, 59), (59, 71), (71, 74), (74, 77), (77, 80), (80, 90), (90, 103), (103, 120), (120, 128), (128, 132), (132, 139), (139, 149), (149, 152), (152, 166), (166, 170), (170, 181), (181, 184), (184, 195), (195, 208)]","['Depuis', 'de', 'nombreuses', 'années,', 'la', 'communauté', 'des', 'chercheurs', 'en', 'traduction', 'automatique', 'et', 'en', 'traitement', 'automatique', 'des', 'langues', 'prête', 'une', 'attention', 'aiguë', 'au', 'développement', 'des', 'techniques', 'de', 'traduction', 'automatique.']","[(0, 6), (6, 9), (9, 20), (20, 28), (28, 31), (31, 42), (42, 46), (46, 57), (57, 60), (60, 71), (71, 83), (83, 86), (86, 89), (89, 100), (100, 112), (112, 116), (116, 124), (124, 130), (130, 134), (134, 144), (144, 150), (150, 153), (153, 167), (167, 171), (171, 182), (182, 185), (185, 196), (196, 209)]"
1821049,6181,159,2,"In order to fulfill the goal of machine translation “translation without losing meaning”, a lot of translation methods have been proposed.","Afin d'atteindre l'objectif de la traduction automatique « traduction sans perdre de sens », de nombreuses méthodes de traduction ont été proposées.","Afin d'atteindre l'objectif de la traduction automatique d'une « traduction sans perte de sens », de nombreuses méthodes de traduction ont été proposées.","['Afin', ""d'atteindre"", ""l'objectif"", 'de', 'la', 'traduction', 'automatique', '«', 'traduction', 'sans', 'perdre', 'de', 'sens', '»,', 'de', 'nombreuses', 'méthodes', 'de', 'traduction', 'ont', 'été', 'proposées.']","[(0, 4), (4, 16), (16, 27), (27, 30), (30, 33), (33, 44), (44, 56), (56, 58), (58, 69), (69, 74), (74, 81), (81, 84), (84, 89), (89, 92), (92, 95), (95, 106), (106, 115), (115, 118), (118, 129), (129, 133), (133, 137), (137, 148)]","['Afin', ""d'atteindre"", ""l'objectif"", 'de', 'la', 'traduction', 'automatique', ""d'une"", '«', 'traduction', 'sans', 'perte', 'de', 'sens', '»,', 'de', 'nombreuses', 'méthodes', 'de', 'traduction', 'ont', 'été', 'proposées.']","[(0, 4), (4, 16), (16, 27), (27, 30), (30, 33), (33, 44), (44, 56), (56, 62), (62, 64), (64, 75), (75, 80), (80, 86), (86, 89), (89, 94), (94, 97), (97, 100), (100, 111), (111, 120), (120, 123), (123, 134), (134, 138), (138, 142), (142, 153)]"
1821049,6181,159,3,All of these translation methods differ in their theories and implementation strategies.,Toutes ces méthodes de traduction diffèrent dans leurs théories et stratégies de mise en oeuvre.,Toutes ces méthodes de traduction diffèrent au plan théorique et dans la stratégie de leur mise en œuvre.,"['Toutes', 'ces', 'méthodes', 'de', 'traduction', 'diffèrent', 'dans', 'leurs', 'théories', 'et', 'stratégies', 'de', 'mise', 'en', 'oeuvre.']","[(0, 6), (6, 10), (10, 19), (19, 22), (22, 33), (33, 43), (43, 48), (48, 54), (54, 63), (63, 66), (66, 77), (77, 80), (80, 85), (85, 88), (88, 96)]","['Toutes', 'ces', 'méthodes', 'de', 'traduction', 'diffèrent', 'au', 'plan', 'théorique', 'et', 'dans', 'la', 'stratégie', 'de', 'leur', 'mise', 'en', 'œuvre.']","[(0, 6), (6, 10), (10, 19), (19, 22), (22, 33), (33, 43), (43, 46), (46, 51), (51, 61), (61, 64), (64, 69), (69, 72), (72, 82), (82, 85), (85, 90), (90, 95), (95, 98), (98, 105)]"
