id_hal,Translation_id,line_id,source,translation,postedition,translation_tokenized,translation_word_offset,postedition_tokenized,postedition_word_offset
3977982,18634,0,Tackling Ambiguity with Images: Improved Multimodal Machine Translation and Contrastive Evaluation,S'attaquer à l'ambiguïté avec des images : Traduction automatique multimodale améliorée et évaluation contrastive,S'attaquer à l'ambiguïté avec des images : Traduction automatique multimodale améliorée et évaluation contrastive,"[""S'attaquer"", 'à', ""l'ambiguïté"", 'avec', 'des', 'images', ':', 'Traduction', 'automatique', 'multimodale', 'améliorée', 'et', 'évaluation', 'contrastive']","[(0, 10), (10, 12), (12, 24), (24, 29), (29, 33), (33, 40), (40, 42), (42, 53), (53, 65), (65, 77), (77, 87), (87, 90), (90, 101), (101, 113)]","[""S'attaquer"", 'à', ""l'ambiguïté"", 'avec', 'des', 'images', ':', 'Traduction', 'automatique', 'multimodale', 'améliorée', 'et', 'évaluation', 'contrastive']","[(0, 10), (10, 12), (12, 24), (24, 29), (29, 33), (33, 40), (40, 42), (42, 53), (53, 65), (65, 77), (77, 87), (87, 90), (90, 101), (101, 113)]"
3977982,18634,1,"One of the major challenges of machine translation (MT) is ambiguity, which can in some cases be resolved by accompanying context such as an image.","L'un des principaux défis de la traduction automatique (TA) est l'ambiguïté, qui peut dans certains cas être résolue par l'accompagnement d'un contexte tel qu'une image.","L'un des principaux défis de la traduction automatique (TA) est l'ambiguïté, qui peut dans certains cas être résolue par l'accompagnement d'un contexte tel qu'une image.","[""L'un"", 'des', 'principaux', 'défis', 'de', 'la', 'traduction', 'automatique', '(TA)', 'est', ""l'ambiguïté,"", 'qui', 'peut', 'dans', 'certains', 'cas', 'être', 'résolue', 'par', ""l'accompagnement"", ""d'un"", 'contexte', 'tel', ""qu'une"", 'image.']","[(0, 4), (4, 8), (8, 19), (19, 25), (25, 28), (28, 31), (31, 42), (42, 54), (54, 59), (59, 63), (63, 76), (76, 80), (80, 85), (85, 90), (90, 99), (99, 103), (103, 108), (108, 116), (116, 120), (120, 137), (137, 142), (142, 151), (151, 155), (155, 162), (162, 169)]","[""L'un"", 'des', 'principaux', 'défis', 'de', 'la', 'traduction', 'automatique', '(TA)', 'est', ""l'ambiguïté,"", 'qui', 'peut', 'dans', 'certains', 'cas', 'être', 'résolue', 'par', ""l'accompagnement"", ""d'un"", 'contexte', 'tel', ""qu'une"", 'image.']","[(0, 4), (4, 8), (8, 19), (19, 25), (25, 28), (28, 31), (31, 42), (42, 54), (54, 59), (59, 63), (63, 76), (76, 80), (80, 85), (85, 90), (90, 99), (99, 103), (103, 108), (108, 116), (116, 120), (120, 137), (137, 142), (142, 151), (151, 155), (155, 162), (162, 169)]"
3977982,18634,2,"However, recent work in multimodal MT (MMT) has shown that obtaining improvements from images is challenging, limited not only by the difficulty of building effective cross-modal representations but also by the lack of specific evaluation and training data.","Cependant, des travaux récents dans le domaine de la traduction automatique multimodale ont montré qu'il était difficile d'obtenir des améliorations à partir d'images, limitées non seulement par la difficulté de construire des représentations multimodales efficaces, mais aussi par le manque de données d'évaluation et d'entraînement spécifiques.","Cependant, des travaux récents dans le domaine de la traduction automatique multimodale ont montré qu'il était difficile d'obtenir des améliorations à partir d'images, limitées non seulement par la difficulté de construire des représentations multimodales efficaces, mais aussi par le manque de données d'évaluation et d'entraînement spécifiques.","['Cependant,', 'des', 'travaux', 'récents', 'dans', 'le', 'domaine', 'de', 'la', 'traduction', 'automatique', 'multimodale', 'ont', 'montré', ""qu'il"", 'était', 'difficile', ""d'obtenir"", 'des', 'améliorations', 'à', 'partir', ""d'images,"", 'limitées', 'non', 'seulement', 'par', 'la', 'difficulté', 'de', 'construire', 'des', 'représentations', 'multimodales', 'efficaces,', 'mais', 'aussi', 'par', 'le', 'manque', 'de', 'données', ""d'évaluation"", 'et', ""d'entraînement"", 'spécifiques.']","[(0, 10), (10, 14), (14, 22), (22, 30), (30, 35), (35, 38), (38, 46), (46, 49), (49, 52), (52, 63), (63, 75), (75, 87), (87, 91), (91, 98), (98, 104), (104, 110), (110, 120), (120, 130), (130, 134), (134, 148), (148, 150), (150, 157), (157, 167), (167, 176), (176, 180), (180, 190), (190, 194), (194, 197), (197, 208), (208, 211), (211, 222), (222, 226), (226, 242), (242, 255), (255, 266), (266, 271), (271, 277), (277, 281), (281, 284), (284, 291), (291, 294), (294, 302), (302, 315), (315, 318), (318, 333), (333, 346)]","['Cependant,', 'des', 'travaux', 'récents', 'dans', 'le', 'domaine', 'de', 'la', 'traduction', 'automatique', 'multimodale', 'ont', 'montré', ""qu'il"", 'était', 'difficile', ""d'obtenir"", 'des', 'améliorations', 'à', 'partir', ""d'images,"", 'limitées', 'non', 'seulement', 'par', 'la', 'difficulté', 'de', 'construire', 'des', 'représentations', 'multimodales', 'efficaces,', 'mais', 'aussi', 'par', 'le', 'manque', 'de', 'données', ""d'évaluation"", 'et', ""d'entraînement"", 'spécifiques.']","[(0, 10), (10, 14), (14, 22), (22, 30), (30, 35), (35, 38), (38, 46), (46, 49), (49, 52), (52, 63), (63, 75), (75, 87), (87, 91), (91, 98), (98, 104), (104, 110), (110, 120), (120, 130), (130, 134), (134, 148), (148, 150), (150, 157), (157, 167), (167, 176), (176, 180), (180, 190), (190, 194), (194, 197), (197, 208), (208, 211), (211, 222), (222, 226), (226, 242), (242, 255), (255, 266), (266, 271), (271, 277), (277, 281), (281, 284), (284, 291), (291, 294), (294, 302), (302, 315), (315, 318), (318, 333), (333, 346)]"
3977982,18634,3,"We present a new MMT approach based on a strong text-only MT model, which uses neural adapters and a novel guided self-attention mechanism and which is jointly trained on both visual masking and MMT.","Nous présentons une nouvelle approche de la MT multimodale basée sur un modèle de MT textuelle solide, qui utilise des adaptateurs neuronaux et un nouveau mécanisme d'auto-attention guidée et qui est entraîné conjointement sur le masquage visuel et la MT multimodale.","Nous présentons une nouvelle approche de la MT multimodale basée sur un modèle de MT textuelle solide, qui utilise des adaptateurs neuronaux et un nouveau mécanisme d'auto-attention guidée et qui est entraîné conjointement sur le masquage visuel et la MT multimodale.","['Nous', 'présentons', 'une', 'nouvelle', 'approche', 'de', 'la', 'MT', 'multimodale', 'basée', 'sur', 'un', 'modèle', 'de', 'MT', 'textuelle', 'solide,', 'qui', 'utilise', 'des', 'adaptateurs', 'neuronaux', 'et', 'un', 'nouveau', 'mécanisme', ""d'auto-attention"", 'guidée', 'et', 'qui', 'est', 'entraîné', 'conjointement', 'sur', 'le', 'masquage', 'visuel', 'et', 'la', 'MT', 'multimodale.']","[(0, 4), (4, 15), (15, 19), (19, 28), (28, 37), (37, 40), (40, 43), (43, 46), (46, 58), (58, 64), (64, 68), (68, 71), (71, 78), (78, 81), (81, 84), (84, 94), (94, 102), (102, 106), (106, 114), (114, 118), (118, 130), (130, 140), (140, 143), (143, 146), (146, 154), (154, 164), (164, 181), (181, 188), (188, 191), (191, 195), (195, 199), (199, 208), (208, 222), (222, 226), (226, 229), (229, 238), (238, 245), (245, 248), (248, 251), (251, 254), (254, 267)]","['Nous', 'présentons', 'une', 'nouvelle', 'approche', 'de', 'la', 'MT', 'multimodale', 'basée', 'sur', 'un', 'modèle', 'de', 'MT', 'textuelle', 'solide,', 'qui', 'utilise', 'des', 'adaptateurs', 'neuronaux', 'et', 'un', 'nouveau', 'mécanisme', ""d'auto-attention"", 'guidée', 'et', 'qui', 'est', 'entraîné', 'conjointement', 'sur', 'le', 'masquage', 'visuel', 'et', 'la', 'MT', 'multimodale.']","[(0, 4), (4, 15), (15, 19), (19, 28), (28, 37), (37, 40), (40, 43), (43, 46), (46, 58), (58, 64), (64, 68), (68, 71), (71, 78), (78, 81), (81, 84), (84, 94), (94, 102), (102, 106), (106, 114), (114, 118), (118, 130), (130, 140), (140, 143), (143, 146), (146, 154), (154, 164), (164, 181), (181, 188), (188, 191), (191, 195), (195, 199), (199, 208), (208, 222), (222, 226), (226, 229), (229, 238), (238, 245), (245, 248), (248, 251), (251, 254), (254, 267)]"
3977982,18634,4,"We also release CoMMuTE, a Contrastive Multilingual Multimodal Translation Evaluation dataset, composed of ambiguous sentences and their possible translations, accompanied by disambiguating images corresponding to each translation.","Nous publions également CoMMuTE, un ensemble de données d'évaluation de la traduction multimodale multilingue contrastive, composé de phrases ambiguës et de leurs traductions possibles, accompagnées d'images désambiguïsantes correspondant à chaque traduction.","Nous publions également CoMMuTE, un ensemble de données d'évaluation de la traduction multimodale multilingue contrastive, composé de phrases ambiguës et de leurs traductions possibles, accompagnées d'images désambiguïsantes correspondant à chaque traduction.","['Nous', 'publions', 'également', 'CoMMuTE,', 'un', 'ensemble', 'de', 'données', ""d'évaluation"", 'de', 'la', 'traduction', 'multimodale', 'multilingue', 'contrastive,', 'composé', 'de', 'phrases', 'ambiguës', 'et', 'de', 'leurs', 'traductions', 'possibles,', 'accompagnées', ""d'images"", 'désambiguïsantes', 'correspondant', 'à', 'chaque', 'traduction.']","[(0, 4), (4, 13), (13, 23), (23, 32), (32, 35), (35, 44), (44, 47), (47, 55), (55, 68), (68, 71), (71, 74), (74, 85), (85, 97), (97, 109), (109, 122), (122, 130), (130, 133), (133, 141), (141, 150), (150, 153), (153, 156), (156, 162), (162, 174), (174, 185), (185, 198), (198, 207), (207, 224), (224, 238), (238, 240), (240, 247), (247, 259)]","['Nous', 'publions', 'également', 'CoMMuTE,', 'un', 'ensemble', 'de', 'données', ""d'évaluation"", 'de', 'la', 'traduction', 'multimodale', 'multilingue', 'contrastive,', 'composé', 'de', 'phrases', 'ambiguës', 'et', 'de', 'leurs', 'traductions', 'possibles,', 'accompagnées', ""d'images"", 'désambiguïsantes', 'correspondant', 'à', 'chaque', 'traduction.']","[(0, 4), (4, 13), (13, 23), (23, 32), (32, 35), (35, 44), (44, 47), (47, 55), (55, 68), (68, 71), (71, 74), (74, 85), (85, 97), (97, 109), (109, 122), (122, 130), (130, 133), (133, 141), (141, 150), (150, 153), (153, 156), (156, 162), (162, 174), (174, 185), (185, 198), (198, 207), (207, 224), (224, 238), (238, 240), (240, 247), (247, 259)]"
3977982,18634,5,Our approach obtains competitive results over strong text-only models on standard English-to-French benchmarks and outperforms these baselines and state-of-the-art MMT systems with a large margin on our contrastive test set.,Notre approche obtient des résultats compétitifs par rapport à des modèles textuels forts sur des benchmarks anglais-français standards et surpasse ces baselines et les systèmes MMT de pointe avec une grande marge sur notre ensemble de tests contrastifs.,Notre approche obtient des résultats compétitifs par rapport à des modèles textuels forts sur des benchmarks anglais-français standards et surpasse ces modèles de base et les systèmes de traduction automatique multimodale de pointe avec une grande marge sur notre ensemble de tests contrastifs.,"['Notre', 'approche', 'obtient', 'des', 'résultats', 'compétitifs', 'par', 'rapport', 'à', 'des', 'modèles', 'textuels', 'forts', 'sur', 'des', 'benchmarks', 'anglais-français', 'standards', 'et', 'surpasse', 'ces', 'baselines', 'et', 'les', 'systèmes', 'MMT', 'de', 'pointe', 'avec', 'une', 'grande', 'marge', 'sur', 'notre', 'ensemble', 'de', 'tests', 'contrastifs.']","[(0, 5), (5, 14), (14, 22), (22, 26), (26, 36), (36, 48), (48, 52), (52, 60), (60, 62), (62, 66), (66, 74), (74, 83), (83, 89), (89, 93), (93, 97), (97, 108), (108, 125), (125, 135), (135, 138), (138, 147), (147, 151), (151, 161), (161, 164), (164, 168), (168, 177), (177, 181), (181, 184), (184, 191), (191, 196), (196, 200), (200, 207), (207, 213), (213, 217), (217, 223), (223, 232), (232, 235), (235, 241), (241, 254)]","['Notre', 'approche', 'obtient', 'des', 'résultats', 'compétitifs', 'par', 'rapport', 'à', 'des', 'modèles', 'textuels', 'forts', 'sur', 'des', 'benchmarks', 'anglais-français', 'standards', 'et', 'surpasse', 'ces', 'modèles', 'de', 'base', 'et', 'les', 'systèmes', 'de', 'traduction', 'automatique', 'multimodale', 'de', 'pointe', 'avec', 'une', 'grande', 'marge', 'sur', 'notre', 'ensemble', 'de', 'tests', 'contrastifs.']","[(0, 5), (5, 14), (14, 22), (22, 26), (26, 36), (36, 48), (48, 52), (52, 60), (60, 62), (62, 66), (66, 74), (74, 83), (83, 89), (89, 93), (93, 97), (97, 108), (108, 125), (125, 135), (135, 138), (138, 147), (147, 151), (151, 159), (159, 162), (162, 167), (167, 170), (170, 174), (174, 183), (183, 186), (186, 197), (197, 209), (209, 221), (221, 224), (224, 231), (231, 236), (236, 240), (240, 247), (247, 253), (253, 257), (257, 263), (263, 272), (272, 275), (275, 281), (281, 294)]"
3866253,4214,0,Conceptual Similarity for Subjective Tags,Similarité conceptuelle pour les balises subjectives,Similarité conceptuelle pour les tags subjectifs,"['Similarité', 'conceptuelle', 'pour', 'les', 'balises', 'subjectives']","[(0, 10), (10, 23), (23, 28), (28, 32), (32, 40), (40, 52)]","['Similarité', 'conceptuelle', 'pour', 'les', 'tags', 'subjectifs']","[(0, 10), (10, 23), (23, 28), (28, 32), (32, 37), (37, 48)]"
3866253,4214,1,Tagging in the context of online resources is a fundamental addition to search systems.,Le marquage dans le contexte des ressources en ligne est un ajout fondamental aux systèmes de recherche.,Les tags dans le contexte des ressources en ligne sont un ajout fondamental aux systèmes de recherche.,"['Le', 'marquage', 'dans', 'le', 'contexte', 'des', 'ressources', 'en', 'ligne', 'est', 'un', 'ajout', 'fondamental', 'aux', 'systèmes', 'de', 'recherche.']","[(0, 2), (2, 11), (11, 16), (16, 19), (19, 28), (28, 32), (32, 43), (43, 46), (46, 52), (52, 56), (56, 59), (59, 65), (65, 77), (77, 81), (81, 90), (90, 93), (93, 104)]","['Les', 'tags', 'dans', 'le', 'contexte', 'des', 'ressources', 'en', 'ligne', 'sont', 'un', 'ajout', 'fondamental', 'aux', 'systèmes', 'de', 'recherche.']","[(0, 3), (3, 8), (8, 13), (13, 16), (16, 25), (25, 29), (29, 40), (40, 43), (43, 49), (49, 54), (54, 57), (57, 63), (63, 75), (75, 79), (79, 88), (88, 91), (91, 102)]"
3866253,4214,2,"Tags assist with the indexing, management, and retrieval of online products and services to answer complex user queries.","Les balises facilitent l'indexation, la gestion et l'extraction de produits et services en ligne pour répondre aux requêtes complexes des utilisateurs.","Ils facilitent l'indexation, la gestion et l'extraction de produits et services en ligne pour répondre aux requêtes complexes des utilisateurs.","['Les', 'balises', 'facilitent', ""l'indexation,"", 'la', 'gestion', 'et', ""l'extraction"", 'de', 'produits', 'et', 'services', 'en', 'ligne', 'pour', 'répondre', 'aux', 'requêtes', 'complexes', 'des', 'utilisateurs.']","[(0, 3), (3, 11), (11, 22), (22, 36), (36, 39), (39, 47), (47, 50), (50, 63), (63, 66), (66, 75), (75, 78), (78, 87), (87, 90), (90, 96), (96, 101), (101, 110), (110, 114), (114, 123), (123, 133), (133, 137), (137, 151)]","['Ils', 'facilitent', ""l'indexation,"", 'la', 'gestion', 'et', ""l'extraction"", 'de', 'produits', 'et', 'services', 'en', 'ligne', 'pour', 'répondre', 'aux', 'requêtes', 'complexes', 'des', 'utilisateurs.']","[(0, 3), (3, 14), (14, 28), (28, 31), (31, 39), (39, 42), (42, 55), (55, 58), (58, 67), (67, 70), (70, 79), (79, 82), (82, 88), (88, 93), (93, 102), (102, 106), (106, 115), (115, 125), (125, 129), (129, 143)]"
3866253,4214,3,"Traditional methods of matching user queries with tags either rely on cosine similarity, or employ semantic similarity models that fail to recognize conceptual connections between tags, e.g. ambiance and music.","Les méthodes traditionnelles de mise en correspondance des requêtes des utilisateurs avec les étiquettes reposent sur la similarité cosinus, ou utilisent des modèles de similarité sémantique qui ne reconnaissent pas les connexions conceptuelles entre les étiquettes, par exemple l'ambiance et la musique.","Les méthodes traditionnelles de mise en correspondance des requêtes des utilisateurs avec les tags reposent sur la similarité cosinus, ou utilisent des modèles de similarité sémantique qui ne reconnaissent pas les connexions conceptuelles entre les tags, par exemple l'ambiance et la musique.","['Les', 'méthodes', 'traditionnelles', 'de', 'mise', 'en', 'correspondance', 'des', 'requêtes', 'des', 'utilisateurs', 'avec', 'les', 'étiquettes', 'reposent', 'sur', 'la', 'similarité', 'cosinus,', 'ou', 'utilisent', 'des', 'modèles', 'de', 'similarité', 'sémantique', 'qui', 'ne', 'reconnaissent', 'pas', 'les', 'connexions', 'conceptuelles', 'entre', 'les', 'étiquettes,', 'par', 'exemple', ""l'ambiance"", 'et', 'la', 'musique.']","[(0, 3), (3, 12), (12, 28), (28, 31), (31, 36), (36, 39), (39, 54), (54, 58), (58, 67), (67, 71), (71, 84), (84, 89), (89, 93), (93, 104), (104, 113), (113, 117), (117, 120), (120, 131), (131, 140), (140, 143), (143, 153), (153, 157), (157, 165), (165, 168), (168, 179), (179, 190), (190, 194), (194, 197), (197, 211), (211, 215), (215, 219), (219, 230), (230, 244), (244, 250), (250, 254), (254, 266), (266, 270), (270, 278), (278, 289), (289, 292), (292, 295), (295, 304)]","['Les', 'méthodes', 'traditionnelles', 'de', 'mise', 'en', 'correspondance', 'des', 'requêtes', 'des', 'utilisateurs', 'avec', 'les', 'tags', 'reposent', 'sur', 'la', 'similarité', 'cosinus,', 'ou', 'utilisent', 'des', 'modèles', 'de', 'similarité', 'sémantique', 'qui', 'ne', 'reconnaissent', 'pas', 'les', 'connexions', 'conceptuelles', 'entre', 'les', 'tags,', 'par', 'exemple', ""l'ambiance"", 'et', 'la', 'musique.']","[(0, 3), (3, 12), (12, 28), (28, 31), (31, 36), (36, 39), (39, 54), (54, 58), (58, 67), (67, 71), (71, 84), (84, 89), (89, 93), (93, 98), (98, 107), (107, 111), (111, 114), (114, 125), (125, 134), (134, 137), (137, 147), (147, 151), (151, 159), (159, 162), (162, 173), (173, 184), (184, 188), (188, 191), (191, 205), (205, 209), (209, 213), (213, 224), (224, 238), (238, 244), (244, 248), (248, 254), (254, 258), (258, 266), (266, 277), (277, 280), (280, 283), (283, 292)]"
